experiment,geometry,target,model,cv_r2_mean,cv_r2_std
HP,base,Unlearning,Linear,-0.1990721798835681,0.2922291137946407
HP,base,Unlearning,DecisionTree,-0.8868990167749349,1.6570951632002533
HP,base,Unlearning,RandomForest,-0.13718244976732225,0.29677413198099734
HP,base,Unlearning,GradientBoosting,-0.6681616406752136,1.3914965231754528
HP,base,Extraction,Linear,-62.16758769762371,93.72404520571325
HP,base,Extraction,DecisionTree,-366.1443758009036,596.7874371149343
HP,base,Extraction,RandomForest,-94.98217532045673,172.81343127837715
HP,base,Extraction,GradientBoosting,-235.21038420879637,435.8890728280481
HP,unlearned,Unlearning,Linear,-0.00788003284106269,0.1742436929001036
HP,unlearned,Unlearning,DecisionTree,-0.08029728156052629,0.07562132985243745
HP,unlearned,Unlearning,RandomForest,-0.05381341603371834,0.17209503778049792
HP,unlearned,Unlearning,GradientBoosting,-0.09211527365075903,0.09765467562242629
HP,unlearned,Extraction,Linear,-77.58020517520691,123.98542214368916
HP,unlearned,Extraction,DecisionTree,-426.16259254317356,639.9651894028814
HP,unlearned,Extraction,RandomForest,-162.3760469117904,276.4512984216488
HP,unlearned,Extraction,GradientBoosting,-293.98772624915136,463.5248660533229
TOFU_grad_ascent,base,Unlearning,Linear,-0.010526315789473717,0.021052631578947434
TOFU_grad_ascent,base,Unlearning,DecisionTree,0.7894736842105263,0.42105263157894746
TOFU_grad_ascent,base,Unlearning,RandomForest,0.3894736842105263,0.4988629730978016
TOFU_grad_ascent,base,Unlearning,GradientBoosting,-0.010526315789473717,0.021052631578947434
TOFU_grad_ascent,base,Extraction,Linear,-0.011492418196328735,0.022984836392657474
TOFU_grad_ascent,base,Extraction,DecisionTree,0.7885075818036713,0.4229848363926575
TOFU_grad_ascent,base,Extraction,RandomForest,0.3885075818036713,0.4997221600660313
TOFU_grad_ascent,base,Extraction,GradientBoosting,-0.011492418196328735,0.022984836392657474
TOFU_grad_ascent,unlearned,Unlearning,Linear,-0.010526315789473717,0.021052631578947434
TOFU_grad_ascent,unlearned,Unlearning,DecisionTree,0.5894736842105263,0.503065395593622
TOFU_grad_ascent,unlearned,Unlearning,RandomForest,0.1894736842105263,0.40577547931360813
TOFU_grad_ascent,unlearned,Unlearning,GradientBoosting,-0.010526315789473717,0.021052631578947434
TOFU_grad_ascent,unlearned,Extraction,Linear,-0.011492418196328735,0.022984836392657474
TOFU_grad_ascent,unlearned,Extraction,DecisionTree,0.3885075818036713,0.4997221600660313
TOFU_grad_ascent,unlearned,Extraction,RandomForest,-0.011492418196328735,0.022984836392657474
TOFU_grad_ascent,unlearned,Extraction,GradientBoosting,-0.011492418196328735,0.022984836392657474
TOFU_idk,base,Unlearning,Linear,-0.42024142191664515,0.2674373299968102
TOFU_idk,base,Unlearning,DecisionTree,-0.7033356016893375,0.5987717051213952
TOFU_idk,base,Unlearning,RandomForest,-0.13772479765459852,0.3218503098240958
TOFU_idk,base,Unlearning,GradientBoosting,-0.3209433501870303,0.6694341702092783
TOFU_idk,base,Extraction,Linear,-0.5911277485160877,0.7748092799325794
TOFU_idk,base,Extraction,DecisionTree,-0.971901290013383,0.6953695506208445
TOFU_idk,base,Extraction,RandomForest,-0.6525265178057191,0.9577192400402862
TOFU_idk,base,Extraction,GradientBoosting,-0.7417164855306684,1.1231378665270364
TOFU_idk,unlearned,Unlearning,Linear,-0.24410614904356712,0.4600930648366078
TOFU_idk,unlearned,Unlearning,DecisionTree,-0.7340723635916129,0.7648207246551594
TOFU_idk,unlearned,Unlearning,RandomForest,-0.03942655193165674,0.25331213985941337
TOFU_idk,unlearned,Unlearning,GradientBoosting,-0.24214171803657242,0.39670617116393403
TOFU_idk,unlearned,Extraction,Linear,-0.36853983817322933,0.4179502263743941
TOFU_idk,unlearned,Extraction,DecisionTree,-0.4576978017809001,0.3908202403434945
TOFU_idk,unlearned,Extraction,RandomForest,-0.25576333071090146,0.28617607936813333
TOFU_idk,unlearned,Extraction,GradientBoosting,-0.34507790943323396,0.25711894920101114
