experiment,geometry,target,feature,threshold,percentile,diff,direction,abs_diff
TOFU_idk,base,Unlearning,separability_mean,0.9938691327982032,75,0.13822222222222236,higher is better,0.13822222222222236
TOFU_idk,unlearned,Unlearning,centrality_std,0.1615380748492298,25,0.13199999999999978,higher is better,0.13199999999999978
TOFU_idk,unlearned,Unlearning,separability_mean,0.993594048556479,75,0.1293333333333333,higher is better,0.1293333333333333
TOFU_idk,unlearned,Extraction,centrality_std,0.1615380748492298,25,-0.1271111111111111,lower is better,0.1271111111111111
TOFU_idk,base,Extraction,separability_mean,0.9938691327982032,75,-0.12355555555555556,lower is better,0.12355555555555556
HP,base,Unlearning,separability_std,0.005426221922540225,75,-0.12222222222222223,lower is better,0.12222222222222223
TOFU_idk,unlearned,Unlearning,centrality_min,0.7397164688973782,75,-0.1213333333333334,lower is better,0.1213333333333334
TOFU_idk,unlearned,Extraction,separability_mean,0.993594048556479,75,-0.12000000000000002,lower is better,0.12000000000000002
TOFU_idk,unlearned,Unlearning,separability_min,0.9885912676940785,75,0.1186666666666667,higher is better,0.1186666666666667
HP,base,Extraction,separability_std,0.005426221922540225,75,0.11822222222222223,higher is better,0.11822222222222223
TOFU_idk,base,Unlearning,centrality_mean,0.9648151063386843,25,0.11422222222222222,higher is better,0.11422222222222222
TOFU_idk,unlearned,Extraction,separability_min,0.9885912676940785,75,-0.10755555555555557,lower is better,0.10755555555555557
HP,unlearned,Extraction,separability_std,0.005694538609738824,75,0.10755555555555554,higher is better,0.10755555555555554
HP,unlearned,Unlearning,separability_std,0.005694538609738824,75,-0.10622222222222222,lower is better,0.10622222222222222
TOFU_idk,unlearned,Extraction,local_density_max,1.7643483046163126,25,-0.10577777777777775,lower is better,0.10577777777777775
TOFU_idk,unlearned,Extraction,local_density_mean,1.566262549393421,25,-0.10577777777777775,lower is better,0.10577777777777775
TOFU_idk,unlearned,Extraction,local_density_min,1.636053302783798,75,-0.10222222222222221,lower is better,0.10222222222222221
TOFU_idk,unlearned,Extraction,centrality_min,0.7397164688973782,75,0.10044444444444439,higher is better,0.10044444444444439
TOFU_idk,unlearned,Unlearning,separability_max,0.9981493051718987,75,0.09911111111111115,higher is better,0.09911111111111115
TOFU_idk,unlearned,Unlearning,local_density_min,1.636053302783798,75,0.09733333333333327,higher is better,0.09733333333333327
TOFU_idk,unlearned,Unlearning,local_density_max,2.2043137939693893,75,0.09555555555555573,higher is better,0.09555555555555573
TOFU_idk,unlearned,Unlearning,centrality_max,1.2714340827859558,25,0.09466666666666668,higher is better,0.09466666666666668
TOFU_idk,base,Unlearning,local_density_mean,1.8239374832198951,75,0.09377777777777785,higher is better,0.09377777777777785
TOFU_idk,unlearned,Unlearning,local_density_mean,1.8650089665196896,75,0.09377777777777785,higher is better,0.09377777777777785
TOFU_idk,base,Unlearning,separability_min,0.9846387158633481,50,0.0926666666666669,higher is better,0.0926666666666669
TOFU_idk,base,Extraction,centrality_mean,0.9648151063386843,25,-0.09155555555555553,lower is better,0.09155555555555553
TOFU_idk,unlearned,Unlearning,local_density_std,0.20922610656820836,75,0.09022222222222231,higher is better,0.09022222222222231
TOFU_idk,base,Extraction,separability_min,0.9875938440104003,75,-0.08977777777777779,lower is better,0.08977777777777779
TOFU_idk,base,Unlearning,separability_max,0.9988158089316144,75,0.08844444444444444,higher is better,0.08844444444444444
TOFU_idk,base,Unlearning,local_density_min,1.6225278296501562,75,0.08844444444444444,higher is better,0.08844444444444444
TOFU_idk,unlearned,Extraction,centrality_max,1.2714340827859558,25,-0.08799999999999997,lower is better,0.08799999999999997
TOFU_idk,base,Unlearning,local_density_std,0.07422555877246106,25,0.0875555555555555,higher is better,0.0875555555555555
TOFU_idk,base,Extraction,local_density_min,1.6225278296501562,75,-0.08622222222222217,lower is better,0.08622222222222217
TOFU_idk,base,Extraction,local_density_mean,1.521303710017194,25,-0.08622222222222214,lower is better,0.08622222222222214
HP,base,Extraction,separability_max,1.0015962010827115,50,0.08266666666666665,higher is better,0.08266666666666665
TOFU_idk,unlearned,Extraction,cross_layer_consistency_mean,0.65055,75,-0.08266666666666664,lower is better,0.08266666666666664
TOFU_idk,unlearned,Extraction,cross_layer_consistency_max,0.65055,75,-0.08266666666666664,lower is better,0.08266666666666664
TOFU_idk,unlearned,Extraction,cross_layer_consistency_min,0.65055,75,-0.08266666666666664,lower is better,0.08266666666666664
HP,base,Unlearning,cross_layer_consistency_std,0.0004883,50,-0.0814935064935065,lower is better,0.0814935064935065
TOFU_idk,base,Unlearning,local_density_max,2.086750514107138,75,0.08133333333333359,higher is better,0.08133333333333359
HP,unlearned,Extraction,separability_max,1.0039717062154931,50,0.08133333333333333,higher is better,0.08133333333333333
HP,base,Unlearning,separability_max,1.0015962010827115,50,-0.07933333333333337,lower is better,0.07933333333333337
TOFU_idk,unlearned,Extraction,separability_max,0.9981493051718987,75,-0.07911111111111108,lower is better,0.07911111111111108
HP,base,Extraction,cross_layer_consistency_std,0.0004883,50,0.07851731601731601,higher is better,0.07851731601731601
TOFU_idk,base,Extraction,separability_max,0.9988158089316144,75,-0.07733333333333331,lower is better,0.07733333333333331
HP,unlearned,Unlearning,separability_max,1.0039717062154931,50,-0.07533333333333336,lower is better,0.07533333333333336
HP,base,Unlearning,local_density_mean,1.504790500045161,50,0.07266666666666677,higher is better,0.07266666666666677
HP,base,Unlearning,local_density_max,1.6753330366343486,50,0.07133333333333358,higher is better,0.07133333333333358
HP,base,Unlearning,local_density_std,0.08685123894089145,50,0.07133333333333358,higher is better,0.07133333333333358
HP,unlearned,Unlearning,separability_mean,0.994942982090915,50,-0.07000000000000006,lower is better,0.07000000000000006
TOFU_idk,unlearned,Extraction,local_density_std,0.13370679945560077,50,-0.06933333333333333,lower is better,0.06933333333333333
HP,unlearned,Extraction,separability_mean,0.994942982090915,50,0.06933333333333333,higher is better,0.06933333333333333
TOFU_idk,base,Extraction,local_density_max,1.6985599430373057,25,-0.06666666666666665,lower is better,0.06666666666666665
HP,base,Extraction,local_density_mean,1.504790500045161,50,-0.06399999999999999,lower is better,0.06399999999999999
HP,base,Extraction,local_density_max,1.6753330366343486,50,-0.06266666666666666,lower is better,0.06266666666666666
HP,base,Extraction,local_density_std,0.08685123894089145,50,-0.06133333333333334,lower is better,0.06133333333333334
HP,base,Extraction,separability_mean,0.9840595672718923,25,0.059555555555555556,higher is better,0.059555555555555556
HP,base,Extraction,separability_min,0.9746037071181859,25,0.059555555555555556,higher is better,0.059555555555555556
HP,base,Unlearning,centrality_max,1.374913258996894,75,-0.058222222222222175,lower is better,0.058222222222222175
HP,base,Extraction,centrality_mean,0.9820809268396326,25,0.05777777777777777,higher is better,0.05777777777777777
HP,unlearned,Extraction,local_density_mean,1.650625674567956,75,-0.05777777777777777,lower is better,0.05777777777777777
HP,base,Unlearning,centrality_mean,0.9820809268396326,25,-0.05733333333333346,lower is better,0.05733333333333346
HP,base,Unlearning,separability_min,0.9746037071181859,25,-0.05733333333333346,lower is better,0.05733333333333346
HP,base,Unlearning,separability_mean,0.9840595672718923,25,-0.05733333333333346,lower is better,0.05733333333333346
HP,unlearned,Extraction,centrality_mean,1.0349506904651722,75,-0.055999999999999994,lower is better,0.055999999999999994
HP,unlearned,Extraction,local_density_min,1.4486749495810396,75,-0.055999999999999994,lower is better,0.055999999999999994
HP,unlearned,Extraction,separability_min,0.976850569778082,25,0.055999999999999994,higher is better,0.055999999999999994
HP,unlearned,Unlearning,local_density_mean,1.650625674567956,75,0.05555555555555558,higher is better,0.05555555555555558
HP,unlearned,Unlearning,local_density_min,1.4486749495810396,75,0.05555555555555558,higher is better,0.05555555555555558
HP,base,Unlearning,centrality_min,0.5923610428819136,25,-0.05555555555555558,lower is better,0.05555555555555558
HP,unlearned,Unlearning,centrality_mean,1.0349506904651722,75,0.05555555555555558,higher is better,0.05555555555555558
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_mean,0.65055,75,0.05466666666666664,higher is better,0.05466666666666664
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_max,0.65055,75,0.05466666666666664,higher is better,0.05466666666666664
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_min,0.65055,75,0.05466666666666664,higher is better,0.05466666666666664
HP,base,Extraction,centrality_max,1.374913258996894,75,0.05422222222222223,higher is better,0.05422222222222223
TOFU_idk,base,Extraction,local_density_std,0.07422555877246106,25,-0.05422222222222223,lower is better,0.05422222222222223
HP,base,Extraction,centrality_min,0.5923610428819136,25,0.05422222222222222,higher is better,0.05422222222222222
TOFU_idk,base,Unlearning,separability_std,0.003871577422269125,75,0.052888888888888985,higher is better,0.052888888888888985
HP,base,Extraction,local_density_min,1.3040144530344286,25,0.052444444444444446,higher is better,0.052444444444444446
HP,unlearned,Unlearning,separability_min,0.976850569778082,25,-0.052000000000000046,lower is better,0.052000000000000046
TOFU_idk,unlearned,Unlearning,separability_std,0.0032165118690762754,75,0.05111111111111122,higher is better,0.05111111111111122
HP,unlearned,Unlearning,cross_layer_consistency_min,0.5525249999999999,25,-0.05022222222222228,lower is better,0.05022222222222228
HP,unlearned,Unlearning,cross_layer_consistency_max,0.5525249999999999,25,-0.05022222222222228,lower is better,0.05022222222222228
HP,unlearned,Unlearning,cross_layer_consistency_mean,0.5525249999999999,25,-0.05022222222222228,lower is better,0.05022222222222228
TOFU_idk,unlearned,Unlearning,centrality_mean,1.003906505798664,50,-0.050000000000000155,lower is better,0.050000000000000155
