feature,mean,std
separability_mean,0.2375505846163046,0.14483233693270028
local_density_mean,0.10173915058686084,0.0734953669374291
separability_max,0.07524072128724422,0.04170013862378485
centrality_mean,0.06436388503540974,0.03342869587891116
separability_min,0.04954197936276489,0.04667445221747138
local_density_std,0.04508727092927979,0.03196182551870147
separability_std,0.041531918575001464,0.014156442550413139
local_density_min,0.037280216785962085,0.01967420280590644
centrality_max,0.03218323982637621,0.032174077983197436
centrality_std,0.03204392769210985,0.009301633040825206
local_density_max,0.02742321261404786,0.02040255470832211
centrality_min,0.026463829766922062,0.01498225633817448
cross_layer_consistency_std,0.022657221001672452,0.008987275016798805
cross_layer_consistency_mean,0.01545837881790911,0.010298765905510167
cross_layer_consistency_max,0.015234949241923899,0.010466663982955643
cross_layer_consistency_min,0.01216995186951367,0.00842392279497198
isolation_std,3.469446951953614e-18,6.938893903907228e-18
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
isolation_min,0.0,0.0
isolation_max,0.0,0.0
isolation_mean,0.0,0.0
