layer,avg_target_prob,knowledge_frequency
0,6.30795955657959e-06,0.0
1,2.943456172943115e-05,0.0
2,4.580378532409668e-05,0.0
3,3.1600594520568845e-05,0.0
4,1.9159913063049316e-05,0.0
5,2.5368332862854005e-05,0.0
6,4.7991275787353514e-05,0.0
7,0.0002192533016204834,0.01
8,7.807493209838868e-05,0.0
9,4.636943340301514e-05,0.02
10,8.259892463684082e-05,0.0
11,4.9670934677124025e-05,0.0
12,2.81757116317749e-05,0.0
13,1.9713640213012696e-05,0.0
14,2.687394618988037e-05,0.0
15,3.2562017440795896e-05,0.0
16,9.225130081176758e-05,0.0
17,0.0002348881959915161,0.01
18,0.0005880838632583618,0.02
19,0.004185451865196228,0.05
20,0.003757548928260803,0.05
21,0.008396132588386536,0.06
22,0.010682101845741272,0.08
23,0.011228373646736145,0.1
24,0.012209154963493347,0.12
25,0.015470712184906006,0.12
26,0.01059198498725891,0.12
27,0.012460790872573853,0.17
28,0.013831730484962463,0.21
29,0.01958114981651306,0.22
30,0.02259971261024475,0.22
31,0.03261440098285675,0.23
32,0.030928578972816468,0.24
